Dust monitor control board firmware version,2.03
Live_AlarmThresh,100.000
TWA8hr_AlarmThresh,10.000
TWA15m_AlarmThresh,10.000
OPC-N2 176880705                                            
OPC-N2 FirmwareVer=OPC-018.2.TRX..........................BD
Gain scaling coeff,1.000
Init Sample Flow Rate (ml/s),3.700
Laser DAC setting,179
Fan DAC setting,255
ToF to SFR factor,74
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Bin high boundary (ADC o/p),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
Volume of a particle in bin (um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
Density of a particle in bin (g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
Sample volume weighting for bin,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Data:
DateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Checksum,PMr,AvgLongValue,AvgShortValue,LiveUnits,AvgShortUnits,AvgLongUnits,LogRate(s),Channel_1,Channel_2
15/7/18 0:14:15,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,64,0,1.013,3.700,7,6.704,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:14:27,0,0,0,2,4,2,1,0,0,0,0,0,0,0,0,0,0,30,89,0,1.013,3.700,9,9.284,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:14:38,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,35,91,0,1.013,3.700,8,7.705,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:14:49,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,47,0,1.013,3.700,5,7.144,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:15:1,0,0,0,4,5,0,0,0,1,0,0,0,0,0,0,0,0,67,0,0,1.013,3.700,10,13.189,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:15:12,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,69,0,1.013,3.700,4,12.158,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:15:23,0,0,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,38,64,33,1.013,3.700,8,16.774,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:15:34,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,66,78,0,1.013,3.700,6,8.145,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:15:46,0,0,0,1,2,4,1,2,0,0,0,0,0,0,0,0,0,211,107,52,1.013,3.700,10,22.382,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:15:57,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,70,38,0,1.013,3.700,6,15.049,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
